index,glir,qo,qt,wc,ch,gor,glir_old,tes,gor_old,glir_edit,glir_edit
1,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
2,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
3,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
4,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
5,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
6,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
7,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
8,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
9,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
10,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
11,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
12,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
13,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
14,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
15,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
16,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
17,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
18,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
19,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
20,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
21,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
22,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
23,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
24,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
25,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
26,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
27,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
28,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
29,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
30,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
31,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
32,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
33,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
34,271,31,32.2,4,392.86,64256.96,54.2,16064.24,600,,
35,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
36,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
37,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
38,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
39,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
40,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
41,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
42,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
43,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
44,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
45,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
46,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
47,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
48,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
49,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
50,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
51,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
52,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
53,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
54,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
55,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
56,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
57,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
58,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
59,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
60,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
61,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
62,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
63,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
64,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
65,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
66,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
67,271,5.73,5.82,2,632,81385.52,54.2,20346.38,36823.73,,
68,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
69,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
70,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
71,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
72,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
73,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
74,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
75,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
76,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
77,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
78,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
79,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
80,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
81,271,4.9,5.02,3,582,87314.6,54.2,21828.65,81632.65,,
